velocity,entropy,is_malicious
4,4.502447746777209,4
8,6.950214105061696,8
4,7.119134118871375,4
7,7.061059192034466,7
14,6.599184475871791,14
1,5.351112808774555,1
3,4.420339527299357,3
8,6.893062592778737,8
10,7.435777587383707,10
3,4.410455892756884,3
14,7.531760992719878,14
1,6.015678230796185,1
4,6.154369228679483,4
14,6.975319985901211,14
4,7.374872848822605,4
4,6.7869173405466015,4
7,7.875257519375144,7
4,6.78110363438892,4
12,7.17243122614013,12
5,6.03894184807921,5
5,6.925696438984644,5
4,6.6559400849312675,4
8,6.826862118785253,8
11,7.458769820065982,11
7,7.6398341534005025,7
3,4.320630769284231,3
4,7.368666029707183,4
4,4.137226101437538,4
4,6.9082369670058625,4
1,6.174300314586285,1
2,6.441910808518056,2
4,7.500518906317771,4
1,4.3490991936564285,1
4,7.383789852865647,4
1,6.651357654890277,1
5,6.618837507629225,5
11,7.271760265307779,11
13,6.630809721537088,13
1,6.68900745556336,1
6,7.740469362983191,6
9,7.563130139550566,9
1,5.557245355408654,1
4,6.642612277596785,4
5,5.507698229390327,5
14,6.724360710704147,14
5,4.319779090923972,5
1,4.50404262323459,1
13,6.839461350015755,13
4,4.118280434105518,4
2,5.823715278380334,2
7,7.198977070161213,7
4,6.898877556192564,4
3,4.063808232551161,3
5,5.173244609955282,5
1,5.0382991796133565,1
5,6.605869503866833,5
4,4.05757683046917,4
1,6.702105592033775,1
12,7.179231964563295,12
7,7.266581581014617,7
13,7.502762555839251,13
4,4.256049004235932,4
2,4.019157615150501,2
6,6.513400159138949,6
6,6.612035596418486,6
3,4.779439626235103,3
14,7.478301096286034,14
3,4.679969206680964,3
14,6.747688407710436,14
11,7.687907662282337,11
8,7.089047833572664,8
7,7.372391904437352,7
4,5.042714572716946,4
6,6.9433572033717335,6
6,7.803840048346693,6
7,7.6437581684697,7
5,4.186875394390188,5
9,6.991642729011095,9
3,6.511039985091016,3
12,7.59312423803585,12
13,6.744621045411577,13
8,7.833422125621893,8
1,4.286605941504004,1
13,6.84338690685704,13
11,6.857474525718489,11
3,5.099384604614194,3
11,6.656740590517561,11
2,6.58612795296794,2
2,4.6361345197246795,2
4,4.736047329043963,4
3,4.822481999679417,3
5,7.053403149578965,5
12,7.1570007926694394,12
12,7.718016031461817,12
12,7.022514579568448,12
9,6.684065230520755,9
2,5.800061644357911,2
11,7.880728796603115,11
13,7.531869885226262,13
2,6.369095521427438,2
4,4.19995612168207,4
4,5.402204533749609,4
8,7.497712837393373,8
7,7.50656559046152,7
10,7.54632520143446,10
3,4.201229432165283,3
2,6.341576545731586,2
2,5.119755374888021,2
6,6.651800584623713,6
4,4.660549605849434,4
7,7.273315068006671,7
6,6.858002075287076,6
14,6.809146431527642,14
14,7.892858802549837,14
1,5.9319986297170475,1
5,7.251551494658993,5
2,6.998241177312,2
5,6.0888663276344195,5
4,6.828195322405377,4
2,6.181507209298924,2
9,7.541708495618811,9
2,4.7416932232095315,2
5,6.975813637846866,5
4,5.900434659478442,4
2,6.0778778566784935,2
4,6.444475341239537,4
8,6.85579039108239,8
1,5.338017318873867,1
3,5.149415584748493,3
5,4.665916485798848,5
7,7.502746788547854,7
11,7.358531475310793,11
5,7.619960647261481,5
1,4.529584096016524,1
5,4.268233006936779,5
2,6.384428646249788,2
5,5.695399550767627,5
4,7.402352189225872,4
11,7.011106089322434,11
1,4.786792132899476,1
5,6.802388247430476,5
11,7.626335929571159,11
7,7.421172189517676,7
4,6.673975924222326,4
4,7.464426845506369,4
5,5.8514349598120905,5
4,4.164284916466094,4
11,6.892682683582091,11
5,4.203511177315516,5
5,5.3312506579137136,5
13,7.240893285308967,13
14,6.788956092375608,14
12,7.607994946506777,12
1,6.248955495228774,1
3,4.703926245566361,3
2,4.109649003544285,2
10,7.8467158529045005,10
12,6.791450042591074,12
9,6.860227091163425,9
12,7.441212966602318,12
13,7.654956662885051,13
2,6.924379486440349,2
3,5.858471038028844,3
5,6.681922604128774,5
3,6.119427179460704,3
3,6.173016451386223,3
9,7.693906409148214,9
4,4.629716779286757,4
1,4.091161179090511,1
1,5.6561415425559405,1
5,7.928222746792619,5
1,6.551745187282726,1
4,7.421493189726014,4
5,6.742896419681497,5
14,7.662080523859645,14
13,6.781359321679917,13
7,7.010884468571431,7
